Date,Forecast
2026-05-30,3036.244973227731
2026-05-31,3060.0678937240154
2026-06-01,3079.782532359066
2026-06-02,3095.4707670907956
2026-06-03,3107.5842790263705
2026-06-04,3116.699779127608
2026-06-05,3123.393732476572
2026-06-06,3128.1851912328857
2026-06-07,3131.516738952836
2026-06-08,3133.749941813934
2026-06-09,3135.1739544062875
2026-06-10,3136.0130190650816
2026-06-11,3136.439374557638
2026-06-12,3136.581861874787
2026-06-13,3136.536374120391
2026-06-14,3136.3713888057973
2026-06-15,3136.136819520965
2026-06-16,3135.8670894313836
2026-06-17,3135.585188294004
2026-06-18,3135.306975352927
2026-06-19,3135.0420399185386
2026-06-20,3134.7964060447994
2026-06-21,3134.572532529244
2026-06-22,3134.3716487706406
2026-06-23,3134.193508889235
2026-06-24,3134.0372523058904
2026-06-25,3133.901280802209
2026-06-26,3133.7842420395464
2026-06-27,3133.6834313406143
2026-06-28,3133.597865186399
