loss,val_loss
0.016187654808163643,0.003803734667599201
0.004126673098653555,0.0025766112376004457
0.003886017482727766,0.002926028333604336
0.0035228158812969923,0.002015348058193922
0.0029068528674542904,0.0030070384964346886
0.0027996229473501444,0.0017659143777564168
0.0028282415587455034,0.0020139615517109632
0.0025753863155841827,0.0016173007898032665
0.002483150688931346,0.0013370545348152518
0.002265307819470763,0.0015194356674328446
0.0022773724049329758,0.0015193772269412875
0.0021072730887681246,0.0015074140392243862
0.0021368376910686493,0.001356899389065802
0.0019869424868375063,0.0018954661209136248
0.0019473264692351222,0.0022808590438216925
0.0018797792727127671,0.0012851235223934054
0.0017537125386297703,0.0024905065074563026
0.001625920063816011,0.0013390063541010022
0.0015652421861886978,0.0013310739304870367
0.0016484300140291452,0.0011203321628272533
